k,accuracy
1,0.9545454545454545
3,0.9545454545454545
5,0.9636363636363636
7,0.9727272727272727
9,0.9734848484848484
11,0.9643939393939392
13,0.9818181818181818
15,0.9818181818181818
17,0.9727272727272729
19,0.9643939393939395
21,0.956060606060606
23,0.9643939393939395
25,0.9643939393939392
27,0.9643939393939392
29,0.9643939393939392
31,0.9553030303030303
33,0.9462121212121211
35,0.9469696969696969
37,0.9386363636363637
39,0.9295454545454545
41,0.9204545454545453
43,0.9113636363636364
45,0.9113636363636364
47,0.9022727272727271
49,0.8931818181818182
